DateTime,PlayerName,SessionDuration,AttractingFishScore,HookingFishScore,RetreivingFishScore, DamagedWire ,sight,audio,haptic,endReason
22/1/2024 - 18h:14min,,113.14211,0.0,0.0,0.0,0.9682978,true,true,true,FishCaught
22/1/2024 - 18h:16min,brutta tensione,102.32301,0.0,0.0,0.0,0.9690682,true,true,true,FishCaught
22/1/2024 - 18h:18min,brutta tensione,73.71972,0.0,0.0,0.0,0.96587586,true,true,true,FishCaught
22/1/2024 - 18h:20min,brutta tensione,105.07494,0.0,0.0,0.0,0.9567486,true,true,true,FishCaught
22/1/2024 - 18h:22min,perfect tention,149.56966,0.0,0.0,0.0,0.9714221,true,true,true,FishCaught
22/1/2024 - 18h:24min,perfect tention,182.88123,0.0,0.0,0.0,0.995961,true,true,true,FishCaught
22/1/2024 - 18h:27min,perfect tention,157.46094,0.0,0.0,0.0,0.99659616,true,true,true,FishCaught
22/1/2024 - 18h:30min,perfect tention,124.152565,0.0,0.0,0.0,0.9976449,true,true,true,FishCaught
22/1/2024 - 18h:32min,perfect tention,105.37173,0.0,0.0,0.0,0.9902905,true,true,true,FishCaught
22/1/2024 - 18h:34min,perfect tention,87.828804,0.0,0.0,0.0,0.9881552,true,true,true,FishCaught
22/1/2024 - 20h:20min,,112.392944,0.0,0.0,0.0,0.3741866,true,true,true,FishCaught
22/1/2024 - 20h:22min,,141.37727,0.0,0.0,0.0,0.4862349,true,true,true,FishCaught
